"Li","Be","B","O","Na","Mg","Al","Si","P","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","Ge","As","Se","Rb","Sr","Y","Zr","Nb","Mo","Ru","Rh","Pd","Ag","Cd","In","Sn","Sb","Te","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Hg","Tl","Pb","Bi","Th","U","Tg","Tliquidus"
0,0,0,0.631578950526316,0,0,0.035087722807018,0.245614019649122,0,0,0,0,0,0,0,0,0,0,0,0,0.087719307017545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951.15,1873.15
0,0,0,0.627118618813559,0,0,0.067796612033898,0.22033900661017,0,0,0,0,0,0,0,0,0,0,0,0,0.084745762542373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966.15,1741.15
0,0,0,0.622950824918033,0,0,0.098360653934426,0.196721307868852,0,0,0,0,0,0,0,0,0,0,0,0,0.081967213278689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983.15,1712.15
0,0,0,0.619047612380952,0,0,0.126984102539682,0.174603203492064,0,0,0,0,0,0,0,0,0,0,0,0,0.079365081587302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.15,1772.15
0,0,0.050847464067797,0.666666653333332,0,0,0,0.231638418531074,0.050847464067797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.15,1237.15
0,0,0.053221291064426,0.666666613333332,0,0,0,0.226890804537816,0.053221291064426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,985.15,1233.15
0,0,0.055555555555556,0.666666666666667,0,0,0,0.222222222222222,0.055555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,995.15,1249.15
0,0,0.068965514482759,0.660919547126436,0,0,0,0.235632181149425,0.03448275724138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935.15,1242.15
0,0,0.067415726629214,0.662921366853932,0,0,0,0.224719088764046,0.044943817752809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940.15,1240.15
0,0,0.065934075274726,0.664835153186812,0,0,0,0.214285717142857,0.054945054395604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.15,1263.15
0,0,0.066666674000001,0.666666639999998,0,0,0,0.200000012000001,0.066666674000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030.15,1292.15
0,0,0.09195401724138,0.655172380344829,0,0,0,0.229885093103447,0.022988509310345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,925.15,1226.15
0,0,0.08988764,0.6573034,0,0,0,0.2191011,0.03370786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915.15,1218.15
0,0,0.088888882888889,0.658333347333332,0,0,0,0.213888882888889,0.038888886888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920.15,1236.15
0,0,0.086956523478261,0.660326126413045,0,0,0,0.203804308152172,0.048913041956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940.15,1264.15
0,0,0.027522942752294,0.666666666666667,0,0,0,0.259938825993883,0.027522942752294,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018348621834862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.15,1336.15
0,0,0.027522942477065,0.666666659999999,0,0,0,0.253822622844036,0.027522942477065,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024464832201835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980.15,1327.15
0,0,0.035714292857144,0.666666653333332,0,0,0,0.24404761952381,0.035714292857144,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017857141428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960.15,1287.15
0,0,0.035714293928572,0.666666673333334,0,0,0,0.233630925699402,0.035714293928572,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02827381311012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.15,1273.15
