ID,Li,Be,B,O,Na,Mg,Al,Si,P,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Bi,Th,U,YoungModulusGPa
610450_44780,0.095808379807158,0,0,0.580838304369036,0.011976049860081,0.014970060238938,0.089820354281072,0.142215591939444,0,0.023952099720161,0,0,0,0,0,0,0.011976049860081,0,0,0,0,0,0,0,0,0,0,0.002994011868974,0.013473050281138,0,0.008982035904944,0,0,0,0,0,0,0,0,0,0,0,0.002994011868974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62000000476837
610453_44780,0.059880240277616,0,0,0.589820383662234,0.04790418936107,0.014970060069404,0.089820353263867,0.151197590369308,0,0.005988023670134,0,0,0,0,0,0,0.011976049724453,0,0,0,0,0,0,0,0,0,0,0.002994011835067,0.013473050128557,0,0.008982035803224,0,0,0,0,0,0,0,0,0,0,0,0.002994011835067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05999994277954
610451_44780,0.083832333951653,0,0,0.584131721239425,0.02395209166818,0.014970061166915,0.089820350312187,0.145509010230354,0,0.017365270333733,0,0,0,0,0,0,0.011976050602462,0,0,0,0,0,0,0,0,0,0,0.002994012054569,0.013473051116317,0,0.008982035269637,0,0,0,0,0,0,0,0,0,0,0,0.002994012054569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23000001907349
610452_44780,0.071856287389458,0,0,0.591317393188615,0.035928138926358,0.014970060270168,0.089820354468451,0.152694594013299,0,0.00299401187522,0,0,0,0,0,0,0.011976049885065,0,0,0,0,0,0,0,0,0,0,0.00299401187522,0.013473050309245,0,0.008982035923682,0,0,0,0,0,0,0,0,0,0,0,0.00299401187522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35999989509583
496323_42580,0.03904978974262,0,0,0.611780011485541,0.016270749501052,0.028311099887981,0.061178002102228,0.216400908520933,0,0.009111617765557,0.009111617765557,0,0.008786203228531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44000005722046
480573_41177,0.090909084840255,0,0,0.590909084840255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045454547188499,0,0,0,0,0,0,0,0.272727283130992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36999988555908
480572_41177,0.088888892491659,0,0,0.577777782122294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022222220738729,0,0,0,0,0,0,0,0.311111104647319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45000004768372
480574_41177,0.093023261802142,0,0,0.604651168335316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069767448735792,0,0,0,0,0,0,0,0.23255812112675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57999992370605
480571_41177,0.086956516763439,0,0,0.565217378035836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347826105200725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77999997138977
604054_43410,0.00198667550528,0,6.16554385263561E-05,0.622093255601069,0.003082771842499,0.037198780173214,0.062957056018796,0.21264276571448,0,0.001507133357746,0.05459931429494,0,0.002774494747656,0,0,0,0.001096097305795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13000011444092
