id,qtd_worse,missed_it
364522_28442,6,catboost-dt-knn-mlp-rf-svr
420875_32647,6,catboost-dt-knn-mlp-rf-svr
465016_39392,6,catboost-dt-knn-mlp-rf-svr
465014_39392,6,catboost-dt-knn-mlp-rf-svr
465015_39392,6,catboost-dt-knn-mlp-rf-svr
3025_3472,6,catboost-dt-knn-mlp-rf-svr
396151_32333,6,catboost-dt-knn-mlp-rf-svr
22333_419,6,catboost-dt-knn-mlp-rf-svr
363301_28310,6,catboost-dt-knn-mlp-rf-svr
465018_39393,5,catboost-knn-mlp-rf-svr
465019_39393,5,catboost-knn-mlp-rf-svr
417070_34231,5,catboost-knn-mlp-rf-svr
417072_34231,5,catboost-dt-mlp-rf-svr
188732_24325,5,catboost-knn-mlp-rf-svr
390465_30338,5,catboost-knn-mlp-rf-svr
53684_7025,5,catboost-knn-mlp-rf-svr
98327_5139,5,catboost-dt-knn-mlp-rf
466986_40184,5,catboost-dt-knn-mlp-rf
448259_37908,5,dt-knn-mlp-rf-svr
445010_37581,4,catboost-mlp-rf-svr
371144_28035,4,catboost-knn-mlp-rf
393500_31442,4,catboost-knn-rf-svr
465017_39393,4,catboost-knn-rf-svr
445008_37581,4,catboost-dt-mlp-rf
445007_37581,4,catboost-knn-mlp-rf
91217_5669,4,catboost-knn-mlp-rf
417069_34231,4,catboost-mlp-rf-svr
22334_419,4,catboost-dt-knn-rf
53614_7024,4,catboost-mlp-rf-svr
191634_6215,4,catboost-mlp-rf-svr
470807_39853,4,catboost-mlp-rf-svr
53675_7025,4,catboost-mlp-rf-svr
176048_20544,4,catboost-mlp-rf-svr
8578_3507,4,catboost-dt-knn-rf
446208_37776,4,catboost-knn-mlp-svr
476513_40704,4,catboost-knn-mlp-rf
417073_34232,4,catboost-knn-mlp-rf
464117_39483,4,knn-mlp-rf-svr
38737_6635,4,knn-mlp-rf-svr
393294_31304,4,knn-mlp-rf-svr
138538_13115,3,catboost-knn-mlp
475386_40562,3,catboost-mlp-svr
383005_29429,3,catboost-mlp-svr
190340_23614,3,catboost-knn-rf
417071_34231,3,catboost-mlp-svr
376626_30175,3,catboost-mlp-rf
389683_32759,3,catboost-mlp-rf
98322_5139,3,catboost-rf-svr
72736_6338,3,catboost-knn-rf
468511_40589,3,catboost-mlp-svr
468513_40589,3,catboost-mlp-svr
468510_40589,3,catboost-mlp-svr
308662_26527,3,dt-knn-rf
80111_8700,3,dt-mlp-svr
152409_14995,3,dt-knn-rf
53648_7025,3,dt-knn-rf
473553_40196,3,dt-knn-svr
77118_5204,3,dt-mlp-rf
77220_12251,3,dt-knn-mlp
141667_8904,3,dt-rf-svr
35584_2591,3,knn-mlp-rf
442040_37226,3,knn-rf-svr
467522_40279,3,knn-mlp-rf
186482_20682,3,knn-mlp-rf
93613_7190,3,mlp-rf-svr
53676_7025,3,mlp-rf-svr
53649_7025,3,mlp-rf-svr
98326_5139,3,mlp-rf-svr
308660_26527,2,catboost-rf
195741_24848,2,catboost-svr
440407_37024,2,catboost-rf
97262_10015,2,catboost-rf
462935_39169,2,catboost-mlp
440363_37017,2,catboost-knn
774_1917,2,catboost-rf
441429_37160,2,catboost-svr
366015_28547,2,catboost-dt
476979_40801,2,catboost-mlp
5322_2038,2,catboost-mlp
22685_471,2,catboost-dt
467041_40210,2,catboost-rf
38744_6635,2,catboost-svr
57411_7576,2,catboost-rf
383652_29668,2,catboost-rf
90460_6186,2,dt-knn
137137_6882,2,dt-knn
386733_29980,2,dt-mlp
436190_36552,2,dt-knn
423444_35148,2,dt-knn
476293_40677,2,dt-knn
38735_6635,2,dt-svr
6203_5552,2,dt-knn
8579_3507,2,dt-knn
51745_6846,2,knn-rf
93852_7201,2,knn-mlp
95766_9171,2,knn-rf
373899_29042,2,knn-rf
53654_7025,2,knn-mlp
361603_27543,2,knn-rf
53643_7025,2,knn-rf
153019_15278,2,knn-rf
399203_33397,2,knn-rf
362260_27578,2,knn-mlp
441426_37160,2,knn-rf
448967_38013,2,mlp-rf
186910_20716,2,mlp-rf
98324_5139,2,mlp-svr
98325_5139,2,mlp-svr
409265_34687,2,mlp-svr
458947_38707,1,catboost
423087_35096,1,catboost
68299_7618,1,catboost
93185_5874,1,catboost
1642_3034,1,catboost
445066_37588,1,catboost
37290_4811,1,catboost
414885_33939,1,catboost
475166_40531,1,catboost
381483_28813,1,catboost
369484_29593,1,catboost
166163_17373,1,catboost
85993_9884,1,catboost
138616_13123,1,catboost
381319_28777,1,catboost
441298_37146,1,catboost
396963_32552,1,catboost
38736_6635,1,catboost
467137_40229,1,catboost
374677_29392,1,catboost
187457_20884,1,catboost
359531_27721,1,catboost
467133_40229,1,catboost
15158_4609,1,catboost
467132_40229,1,catboost
15153_4609,1,catboost
450195_28531,1,dt
49505_11907,1,dt
191960_24083,1,dt
39364_6697,1,dt
448264_37908,1,dt
200162_27342,1,dt
441854_37223,1,dt
459208_38766,1,dt
416786_34165,1,dt
443676_37424,1,dt
392294_31062,1,dt
460194_38979,1,dt
465571_39577,1,dt
471758_39905,1,dt
476978_40801,1,dt
470757_39846,1,dt
59719_8645,1,dt
429561_35781,1,dt
414539_33915,1,dt
480340_41114,1,dt
436199_36552,1,dt
368006_29073,1,dt
383751_29692,1,dt
193663_24677,1,dt
364540_28442,1,dt
185964_20655,1,dt
427503_35553,1,dt
310633_27138,1,dt
145351_7576,1,dt
398776_33510,1,dt
193639_24677,1,dt
439121_36910,1,dt
363307_28310,1,dt
185774_20636,1,dt
456684_38480,1,dt
392310_31066,1,dt
466783_40114,1,dt
442028_37270,1,dt
22705_472,1,dt
151102_14734,1,dt
151101_14734,1,dt
449315_38074,1,dt
428113_35564,1,dt
389253_32530,1,dt
140527_3229,1,dt
37927_6566,1,dt
369426_29586,1,dt
184007_20181,1,dt
406098_32022,1,dt
428639_35655,1,dt
468509_40589,1,dt
186486_20682,1,dt
172145_16868,1,dt
300269_24533,1,dt
377575_30351,1,dt
458946_38707,1,knn
138541_13115,1,knn
140222_13827,1,knn
49511_11907,1,knn
362394_28223,1,knn
37288_4811,1,knn
387470_30821,1,knn
393499_31442,1,knn
88697_9912,1,knn
350744_25208,1,knn
22711_472,1,knn
414957_33946,1,knn
181305_17163,1,knn
383754_29692,1,knn
90594_6199,1,knn
404890_31595,1,knn
371820_28167,1,knn
361725_27557,1,knn
392309_31066,1,knn
377393_30290,1,knn
377394_30290,1,knn
377395_30290,1,knn
460759_39350,1,knn
151788_14840,1,knn
301226_24897,1,knn
151789_14840,1,knn
351462_25450,1,knn
160597_594,1,knn
90730_6220,1,mlp
75182_10651,1,mlp
73283_6496,1,mlp
73286_6496,1,mlp
300284_24536,1,mlp
37287_4811,1,mlp
37289_4811,1,mlp
76217_6137,1,mlp
91505_5701,1,mlp
308112_26465,1,mlp
97261_10015,1,mlp
469868_40967,1,mlp
171199_13390,1,mlp
399836_33581,1,mlp
467161_40229,1,mlp
182265_17265,1,mlp
406123_32024,1,mlp
362177_27578,1,mlp
386252_29902,1,mlp
386251_29902,1,mlp
359526_27721,1,mlp
55896_7340,1,mlp
186484_20682,1,mlp
68222_7616,1,rf
39357_6697,1,rf
68174_7614,1,rf
39336_6696,1,rf
114587_12878,1,rf
137316_6216,1,rf
396945_32550,1,rf
140587_14506,1,rf
442041_37226,1,rf
380514_28426,1,rf
